Sexo;Provincia;Municipio;Fecha;Total
Hombres;Madrid;San Martin de la Vega;1 de enero de 2022;10128
Hombres;Madrid;San Martin de Valdeiglesias;1 de enero de 2022;4383
Hombres;Madrid;San Sebastian de los Reyes;1 de enero de 2022;44203
Hombres;Madrid;Santa Maria de la Alameda;1 de enero de 2022;802
Hombres;Madrid;Santorcaz;1 de enero de 2022;473
Hombres;Madrid;Santos de la Humosa, Los;1 de enero de 2022;1414
Hombres;Madrid;Serna del Monte, La;1 de enero de 2022;59
Hombres;Madrid;Serranillos del Valle;1 de enero de 2022;2218
Hombres;Madrid;Sevilla la Nueva;1 de enero de 2022;4599
Hombres;Madrid;Somosierra;1 de enero de 2022;50
Hombres;Madrid;Soto del Real;1 de enero de 2022;4522
Hombres;Madrid;Talamanca de Jarama;1 de enero de 2022;2053
Hombres;Madrid;Tielmes;1 de enero de 2022;1410
Hombres;Madrid;Titulcia;1 de enero de 2022;702
Hombres;Madrid;Torrejon de Ardoz;1 de enero de 2022;66136
Hombres;Madrid;Torrejon de la Calzada;1 de enero de 2022;4936
Hombres;Madrid;Torrejon de Velasco;1 de enero de 2022;2321
Hombres;Madrid;Torrelaguna;1 de enero de 2022;2459
Hombres;Madrid;Torrelodones;1 de enero de 2022;11945
Hombres;Madrid;Torremocha de Jarama;1 de enero de 2022;565
Hombres;Madrid;Torres de la Alameda;1 de enero de 2022;3951
Hombres;Madrid;Tres Cantos;1 de enero de 2022;24325
Hombres;Madrid;Valdaracete;1 de enero de 2022;322
Hombres;Madrid;Valdeavero;1 de enero de 2022;877
Hombres;Madrid;Valdelaguna;1 de enero de 2022;509
Hombres;Madrid;Valdemanco;1 de enero de 2022;534
Hombres;Madrid;Valdemaqueda;1 de enero de 2022;401
Hombres;Madrid;Valdemorillo;1 de enero de 2022;6773
Hombres;Madrid;Valdemoro;1 de enero de 2022;38886
Hombres;Madrid;Valdeolmos-Alalpardo;1 de enero de 2022;2245
Hombres;Madrid;Valdepielagos;1 de enero de 2022;319
Hombres;Madrid;Valdetorres de Jarama;1 de enero de 2022;2418
Hombres;Madrid;Valdilecha;1 de enero de 2022;1604
Hombres;Madrid;Valverde de Alcala;1 de enero de 2022;282
Hombres;Madrid;Velilla de San Antonio;1 de enero de 2022;6409
Hombres;Madrid;Vellon, El;1 de enero de 2022;1106
Hombres;Madrid;Venturada;1 de enero de 2022;1271
Hombres;Madrid;Villa del Prado;1 de enero de 2022;3607
Hombres;Madrid;Villaconejos;1 de enero de 2022;1774
Hombres;Madrid;Villalbilla;1 de enero de 2022;7986
Hombres;Madrid;Villamanrique de Tajo;1 de enero de 2022;394
Hombres;Madrid;Villamanta;1 de enero de 2022;1380
Hombres;Madrid;Villamantilla;1 de enero de 2022;768
Hombres;Madrid;Villanueva de la Cañada;1 de enero de 2022;11120
Hombres;Madrid;Villanueva de Perales;1 de enero de 2022;832
Hombres;Madrid;Villanueva del Pardillo;1 de enero de 2022;8416
Hombres;Madrid;Villar del Olmo;1 de enero de 2022;1102
Hombres;Madrid;Villarejo de Salvanes;1 de enero de 2022;3790
Hombres;Madrid;Villaviciosa de Odon;1 de enero de 2022;13619
Hombres;Madrid;Villavieja del Lozoya;1 de enero de 2022;150
Hombres;Madrid;Zarzalejo;1 de enero de 2022;903
Mujeres;Madrid;;1 de enero de 2022;3520182
Mujeres;Madrid;Acebeda, La;1 de enero de 2022;30
Mujeres;Madrid;Ajalvir;1 de enero de 2022;2278
Mujeres;Madrid;Alameda del Valle;1 de enero de 2022;104
Mujeres;Madrid;Álamo, El;1 de enero de 2022;5151
Mujeres;Madrid;Alcala de Henares;1 de enero de 2022;101416
Mujeres;Madrid;Alcobendas;1 de enero de 2022;61134
Mujeres;Madrid;Alcorcon;1 de enero de 2022;88623
Mujeres;Madrid;Aldea del Fresno;1 de enero de 2022;1574
Mujeres;Madrid;Algete;1 de enero de 2022;10586
Mujeres;Madrid;Alpedrete;1 de enero de 2022;7626
Mujeres;Madrid;Ambite;1 de enero de 2022;324
Mujeres;Madrid;Anchuelo;1 de enero de 2022;652
Mujeres;Madrid;Aranjuez;1 de enero de 2022;30716
Mujeres;Madrid;Arganda del Rey;1 de enero de 2022;28824
Mujeres;Madrid;Arroyomolinos;1 de enero de 2022;17520
Mujeres;Madrid;Atazar, El;1 de enero de 2022;47
Mujeres;Madrid;Batres;1 de enero de 2022;882
Mujeres;Madrid;Becerril de la Sierra;1 de enero de 2022;3112
Mujeres;Madrid;Belmonte de Tajo;1 de enero de 2022;859
Mujeres;Madrid;Berrueco, El;1 de enero de 2022;395
Mujeres;Madrid;Berzosa del Lozoya;1 de enero de 2022;98
Mujeres;Madrid;Boadilla del Monte;1 de enero de 2022;31997
Mujeres;Madrid;Boalo, El;1 de enero de 2022;4116
Mujeres;Madrid;Braojos;1 de enero de 2022;86
Mujeres;Madrid;Brea de Tajo;1 de enero de 2022;234
Mujeres;Madrid;Brunete;1 de enero de 2022;5510
Mujeres;Madrid;Buitrago del Lozoya;1 de enero de 2022;1017
Mujeres;Madrid;Bustarviejo;1 de enero de 2022;1356
Mujeres;Madrid;Cabanillas de la Sierra;1 de enero de 2022;421
Mujeres;Madrid;Cabrera, La;1 de enero de 2022;1422
Mujeres;Madrid;Cadalso de los Vidrios;1 de enero de 2022;1529
Mujeres;Madrid;Camarma de Esteruelas;1 de enero de 2022;3758
Mujeres;Madrid;Campo Real;1 de enero de 2022;3286
Mujeres;Madrid;Canencia;1 de enero de 2022;213
Mujeres;Madrid;Carabaña;1 de enero de 2022;1105
Mujeres;Madrid;Casarrubuelos;1 de enero de 2022;1929
Mujeres;Madrid;Cenicientos;1 de enero de 2022;1044
Mujeres;Madrid;Cercedilla;1 de enero de 2022;3793
Mujeres;Madrid;Cervera de Buitrago;1 de enero de 2022;69
Mujeres;Madrid;Chapineria;1 de enero de 2022;1246
Mujeres;Madrid;Chinchon;1 de enero de 2022;2820
Mujeres;Madrid;Ciempozuelos;1 de enero de 2022;12584
Mujeres;Madrid;Cobeña;1 de enero de 2022;3854
Mujeres;Madrid;Collado Mediano;1 de enero de 2022;3754
Mujeres;Madrid;Collado Villalba;1 de enero de 2022;33093
Mujeres;Madrid;Colmenar de Oreja;1 de enero de 2022;4167
Mujeres;Madrid;Colmenar del Arroyo;1 de enero de 2022;916
Mujeres;Madrid;Colmenar Viejo;1 de enero de 2022;27122
Mujeres;Madrid;Colmenarejo;1 de enero de 2022;4821
Mujeres;Madrid;Corpa;1 de enero de 2022;380
Mujeres;Madrid;Coslada;1 de enero de 2022;41315
Mujeres;Madrid;Cubas de la Sagra;1 de enero de 2022;3346
Mujeres;Madrid;Daganzo de Arriba;1 de enero de 2022;5340
Mujeres;Madrid;Escorial, El;1 de enero de 2022;8418
Mujeres;Madrid;Estremera;1 de enero de 2022;690
Mujeres;Madrid;Fresnedillas de la Oliva;1 de enero de 2022;886
Mujeres;Madrid;Fresno de Torote;1 de enero de 2022;1150
Mujeres;Madrid;Fuenlabrada;1 de enero de 2022;96721
Mujeres;Madrid;Fuente el Saz de Jarama;1 de enero de 2022;3504
Mujeres;Madrid;Fuentidueña de Tajo;1 de enero de 2022;1111
Mujeres;Madrid;Galapagar;1 de enero de 2022;17920
